timestamp,plant,environment,temperature,humidity,soil,water_required
2026-07-30 12:12:57,Basil,Indoor,27.3,61.4,81,0
2026-07-30 12:12:59,Basil,Indoor,27.3,61.5,82,0
2026-07-30 12:13:01,Basil,Indoor,27.4,61.6,82,0
2026-07-30 12:13:03,Basil,Indoor,27.3,61.6,81,0
2026-07-30 12:13:05,Basil,Indoor,27.4,61.7,81,0
2026-07-30 12:13:08,Basil,Indoor,27.4,61.7,81,0
2026-07-30 12:13:10,Basil,Indoor,27.4,61.7,81,0
2026-07-30 12:13:12,Basil,Indoor,27.4,61.8,81,0
2026-07-30 12:13:14,Basil,Indoor,27.4,61.8,82,0
2026-07-30 12:13:16,Basil,Indoor,27.4,61.8,82,0
2026-07-30 12:13:18,Basil,Indoor,27.4,61.8,82,0
2026-07-30 12:13:20,Basil,Indoor,27.4,61.8,83,0
2026-07-30 12:13:22,Basil,Indoor,27.4,61.8,83,0
2026-07-30 12:13:24,Basil,Indoor,27.4,61.8,83,0
2026-07-30 12:13:26,Basil,Indoor,27.4,61.8,84,0
2026-07-30 12:13:28,Basil,Indoor,27.4,61.8,84,0
2026-07-30 12:13:30,Basil,Indoor,27.4,61.8,85,0
2026-07-30 12:13:32,Basil,Indoor,27.4,61.8,85,0
2026-07-30 12:13:34,Basil,Indoor,27.4,61.8,86,0
2026-07-30 12:13:36,Basil,Indoor,27.4,61.8,86,0
2026-07-30 12:13:38,Basil,Indoor,27.5,61.6,87,0
2026-07-30 12:13:40,Basil,Indoor,27.5,61.6,87,0
2026-07-30 12:13:42,Basil,Indoor,27.5,61.6,88,0
2026-07-30 12:13:45,Basil,Indoor,27.5,61.5,89,0
2026-07-30 12:13:47,Basil,Indoor,27.5,61.5,89,0
2026-07-30 12:13:49,Basil,Indoor,27.5,61.5,90,0
2026-07-30 12:21:49,Basil,Indoor,27.5,61.5,75,0
2026-07-30 12:21:51,Basil,Indoor,27.9,61.0,74,0
2026-07-30 12:21:54,Basil,Indoor,27.9,60.9,74,0
2026-07-30 12:21:56,Basil,Indoor,27.9,60.9,74,0
2026-07-30 12:21:58,Basil,Indoor,27.9,60.9,74,0
2026-07-30 12:22:00,Basil,Indoor,27.9,60.8,73,0
2026-07-30 12:22:02,Basil,Indoor,27.9,60.8,73,0
